name,summary,url,image_urls,text_length,word_count,sentences_count,complexity_score,readability_score,topic_keywords,age_group_hint,combined_text,predicted_age_group_hint
Semantic Scholar,"Semantic Scholar is a research tool for scientific literature powered by artificial intelligence. It is developed at the Allen Institute for AI and was publicly released in November 2015. Semantic Scholar uses modern techniques in natural language processing to support the research process, for example by providing automatically generated summaries of scholarly papers. The Semantic Scholar team is actively researching the use of artificial intelligence in natural language processing, machine learning, human–computer interaction, and information retrieval.
Semantic Scholar began as a database for the topics of computer science, geoscience, and neuroscience. In 2017, the system began including biomedical literature in its corpus. As of September 2022, it includes over 200 million publications from all fields of science.",https://en.wikipedia.org/wiki/Semantic_Scholar,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Semantic_Scholar_logo.svg/220px-Semantic_Scholar_logo.svg.png,829,117,7,365.64,122.62,"natural, processing, scholar, science, semantic",unspecified,"Semantic Scholar Semantic Scholar is a research tool for scientific literature powered by artificial intelligence. It is developed at the Allen Institute for AI and was publicly released in November 2015. Semantic Scholar uses modern techniques in natural language processing to support the research process, for example by providing automatically generated summaries of scholarly papers. The Semantic Scholar team is actively researching the use of artificial intelligence in natural language processing, machine learning, human–computer interaction, and information retrieval.
Semantic Scholar began as a database for the topics of computer science, geoscience, and neuroscience. In 2017, the system began including biomedical literature in its corpus. As of September 2022, it includes over 200 million publications from all fields of science. natural, processing, scholar, science, semantic",children
Scrabble,"Scrabble is a word game in which two to four players score points by placing tiles, each bearing a single letter, onto a game board divided into a 15×15 grid of squares. The tiles must form words that, in crossword fashion, read left to right in rows or downward in columns and are included in a standard dictionary or lexicon.
American architect Alfred Mosher Butts invented the game in 1931. Scrabble is produced in the United States and Canada by Hasbro, under the brands of both of its subsidiaries, Milton Bradley and Parker Brothers. Mattel owns the rights to manufacture Scrabble outside the U.S. and Canada. As of 2008, the game is sold in 121 countries and is available in more than 30 languages; approximately 150 million sets have been sold worldwide, and roughly one-third of American homes and half of British homes have a Scrabble set. There are approximately 4,000 Scrabble clubs around the world.",https://en.wikipedia.org/wiki/Scrabble,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Scrabble_logo_by_hasbro.png/200px-Scrabble_logo_by_hasbro.png,912,156,9,198.96,123.08,"15, canada, game, scrabble, tiles",unspecified,"Scrabble Scrabble is a word game in which two to four players score points by placing tiles, each bearing a single letter, onto a game board divided into a 15×15 grid of squares. The tiles must form words that, in crossword fashion, read left to right in rows or downward in columns and are included in a standard dictionary or lexicon.
American architect Alfred Mosher Butts invented the game in 1931. Scrabble is produced in the United States and Canada by Hasbro, under the brands of both of its subsidiaries, Milton Bradley and Parker Brothers. Mattel owns the rights to manufacture Scrabble outside the U.S. and Canada. As of 2008, the game is sold in 121 countries and is available in more than 30 languages; approximately 150 million sets have been sold worldwide, and roughly one-third of American homes and half of British homes have a Scrabble set. There are approximately 4,000 Scrabble clubs around the world. 15, canada, game, scrabble, tiles",children
Senet,"Senet or senat (Ancient Egyptian: 𓊃𓈖𓏏𓏠, romanized: znt, lit. 'passing'; cf. Coptic ⲥⲓⲛⲉ /sinə/, 'passing, afternoon') is a board game from ancient Egypt that consists of ten or more pawns on a 30-square playing board. The earliest representation of senet is dated to c. 2620 BCE from the Mastaba of Hesy-Re, while similar boards and hieroglyphic signs are found even earlier, including in the Levant in the Early Bronze Age II period. Even though the game has a 2,000-year history in Egypt, there appears to be very little variation in terms of key components. This can be determined by studying the various senet boards that have been found by archaeologists, as well as depictions of senet being played throughout Egyptian history on places like tomb walls and papyrus scrolls. However, the game fell out of use following the Roman period, and its original rules are the subject of conjecture.",https://en.wikipedia.org/wiki/Senet,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Gaming_Board_Inscribed_for_Amenhotep_III_with_Separate_Sliding_Drawer%2C_ca._1390-1353_B.C.E.%2C49.56a-b.jpg/220px-Gaming_Board_Inscribed_for_Amenhotep_III_with_Separate_Sliding_Drawer%2C_ca._1390-1353_B.C.E.%2C49.56a-b.jpg,895,149,8,205.55,120.36,"boards, egypt, egyptian, game, senet",unspecified,"Senet Senet or senat (Ancient Egyptian: 𓊃𓈖𓏏𓏠, romanized: znt, lit. 'passing'; cf. Coptic ⲥⲓⲛⲉ /sinə/, 'passing, afternoon') is a board game from ancient Egypt that consists of ten or more pawns on a 30-square playing board. The earliest representation of senet is dated to c. 2620 BCE from the Mastaba of Hesy-Re, while similar boards and hieroglyphic signs are found even earlier, including in the Levant in the Early Bronze Age II period. Even though the game has a 2,000-year history in Egypt, there appears to be very little variation in terms of key components. This can be determined by studying the various senet boards that have been found by archaeologists, as well as depictions of senet being played throughout Egyptian history on places like tomb walls and papyrus scrolls. However, the game fell out of use following the Roman period, and its original rules are the subject of conjecture. boards, egypt, egyptian, game, senet",children
Shadows over Camelot,"Shadows over Camelot is an Arthurian-themed board game designed by Serge Laget and Bruno Cathala, illustrated by Julien Delval and Cyrille Daujean. The game was unveiled by the publishers Days of Wonder at the 2005 American International Toy Fair and was more widely released in May and June 2005. The game was also published in French as Les Chevaliers de la Table Ronde and in German as Schatten über Camelot. In 2008, an expansion for Shadows over Camelot was released titled Merlin's Company.
Players take on the roles of Knights of the Round Table (with the possibility that one player takes the role of traitor) and play the game by fulfilling quests. The game is cooperative in that a shared victory or loss is possible in the absence of a traitor, and a traitor does not benefit if revealed too early. By contrast, the endgame with a revealed traitor is a competitive game of asymmetric teams.
This game was featured in an episode of Geek & Sundry's Tabletop on October 3, 2013 and Table Flip on March 29, 2014.",https://en.wikipedia.org/wiki/Shadows_over_Camelot,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Shadows_over_Camelot.jpg/180px-Shadows_over_Camelot.jpg,1019,179,8,225.52,119.85,"2005, camelot, game, table, traitor",unspecified,"Shadows over Camelot Shadows over Camelot is an Arthurian-themed board game designed by Serge Laget and Bruno Cathala, illustrated by Julien Delval and Cyrille Daujean. The game was unveiled by the publishers Days of Wonder at the 2005 American International Toy Fair and was more widely released in May and June 2005. The game was also published in French as Les Chevaliers de la Table Ronde and in German as Schatten über Camelot. In 2008, an expansion for Shadows over Camelot was released titled Merlin's Company.
Players take on the roles of Knights of the Round Table (with the possibility that one player takes the role of traitor) and play the game by fulfilling quests. The game is cooperative in that a shared victory or loss is possible in the absence of a traitor, and a traitor does not benefit if revealed too early. By contrast, the endgame with a revealed traitor is a competitive game of asymmetric teams.
This game was featured in an episode of Geek & Sundry's Tabletop on October 3, 2013 and Table Flip on March 29, 2014. 2005, camelot, game, table, traitor",children
Shogi,"Shogi (将棋, shōgi, English: , Japanese: [ɕoːɡi]), also known as Japanese chess, is a strategy board game for two players. It is one of the most popular board games in Japan and is in the same family of games as Western chess, chaturanga, xiangqi, Indian chess, and janggi.  Shōgi means general's (shō 将) board game (gi 棋).
Shogi was the earliest historical chess-related game to allow captured pieces to be returned to the board by the capturing player. This drop rule is speculated to have been invented in the 15th century and possibly connected to the practice of 15th-century mercenaries switching loyalties when captured instead of being killed.
The earliest predecessor of the game, chaturanga, originated in India in the 6th century, and the game was likely transmitted to Japan via China or Korea sometime after the Nara period. Shogi in its present form was played as early as the 16th century, while a direct ancestor without the drop rule was recorded from 1210 in a historical document Nichūreki, which is an edited copy of Shōchūreki and Kaichūreki from the late Heian period (c. 1120).",https://en.wikipedia.org/wiki/Shogi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Shogi_board_pieces_and_komadai.jpg/300px-Shogi_board_pieces_and_komadai.jpg,1098,185,6,246.76,108.32,"board, century, chess, game, shogi",unspecified,"Shogi Shogi (将棋, shōgi, English: , Japanese: [ɕoːɡi]), also known as Japanese chess, is a strategy board game for two players. It is one of the most popular board games in Japan and is in the same family of games as Western chess, chaturanga, xiangqi, Indian chess, and janggi.  Shōgi means general's (shō 将) board game (gi 棋).
Shogi was the earliest historical chess-related game to allow captured pieces to be returned to the board by the capturing player. This drop rule is speculated to have been invented in the 15th century and possibly connected to the practice of 15th-century mercenaries switching loyalties when captured instead of being killed.
The earliest predecessor of the game, chaturanga, originated in India in the 6th century, and the game was likely transmitted to Japan via China or Korea sometime after the Nara period. Shogi in its present form was played as early as the 16th century, while a direct ancestor without the drop rule was recorded from 1210 in a historical document Nichūreki, which is an edited copy of Shōchūreki and Kaichūreki from the late Heian period (c. 1120). board, century, chess, game, shogi",children
Social deduction game,"A social deduction game is a game in which players attempt to uncover each other's hidden role or team allegiance. Commonly, these games are played with teams, with one team being considered ""good"" and another being ""bad"". During gameplay, players can use logic and deductive reasoning to try to deduce one another's roles, while other players can bluff to keep players from suspecting them.
Examples of social deduction games include Mafia, in which only the mafia know who is mafia and what the mafia players' roles are; Bang!, in which only the sheriff's role is known to everyone; and Secret Hitler, in which only the fascists know who the fascists are, except for the player who plays as Hitler. Other social deduction games include The Resistance, Deception: Murder in Hong Kong and Spyfall.
Social deduction games have been adapted to video games numerous times through mods or full games. One instances of such adaptations are custom maps for StarCraft: Brood War including Changeling and The Thing. These custom maps inspired later Warcraft III custom maps including Mafia, Werewolf, Zerg Infestation, and another Changeling and The Thing. Other notable examples include Garry's Mod ""Trouble in Terrorist Town"" game mode, Town of Salem, StarCraft II's Phantom Mode mod, and Among Us.
One important element of strategy in some social deduction games is determining how long to stick to one's story in the light of information obtained from other players. A Monte Carlo tree search has been suggested for making decisions in social deduction games.",https://en.wikipedia.org/wiki/Social_deduction_game,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Playing_mafia_game.jpg/220px-Playing_mafia_game.jpg,1555,252,11,346.7,109.73,"deduction, games, mafia, players, social",unspecified,"Social deduction game A social deduction game is a game in which players attempt to uncover each other's hidden role or team allegiance. Commonly, these games are played with teams, with one team being considered ""good"" and another being ""bad"". During gameplay, players can use logic and deductive reasoning to try to deduce one another's roles, while other players can bluff to keep players from suspecting them.
Examples of social deduction games include Mafia, in which only the mafia know who is mafia and what the mafia players' roles are; Bang!, in which only the sheriff's role is known to everyone; and Secret Hitler, in which only the fascists know who the fascists are, except for the player who plays as Hitler. Other social deduction games include The Resistance, Deception: Murder in Hong Kong and Spyfall.
Social deduction games have been adapted to video games numerous times through mods or full games. One instances of such adaptations are custom maps for StarCraft: Brood War including Changeling and The Thing. These custom maps inspired later Warcraft III custom maps including Mafia, Werewolf, Zerg Infestation, and another Changeling and The Thing. Other notable examples include Garry's Mod ""Trouble in Terrorist Town"" game mode, Town of Salem, StarCraft II's Phantom Mode mod, and Among Us.
One important element of strategy in some social deduction games is determining how long to stick to one's story in the light of information obtained from other players. A Monte Carlo tree search has been suggested for making decisions in social deduction games. deduction, games, mafia, players, social",children
Sorry! (game),"Sorry! is a board game that is based, like the older game Ludo, on the ancient Indian cross and circle game Pachisi. Players move their three or four pieces around the board, attempting to get all of their pieces ""home"" before any other player. Originally manufactured by W.H. Storey & Co in England and now by Hasbro, Sorry! is marketed for two to four players, ages 6 and up. The game title comes from the many ways in which a player can negate the progress of another, while issuing an apologetic ""Sorry!""",https://en.wikipedia.org/wiki/Sorry!_(game),https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Sorry_diamond_edit.jpg/220px-Sorry_diamond_edit.jpg,508,92,8,72.52,128.03,"board, game, player, players, sorry",unspecified,"Sorry! (game) Sorry! is a board game that is based, like the older game Ludo, on the ancient Indian cross and circle game Pachisi. Players move their three or four pieces around the board, attempting to get all of their pieces ""home"" before any other player. Originally manufactured by W.H. Storey & Co in England and now by Hasbro, Sorry! is marketed for two to four players, ages 6 and up. The game title comes from the many ways in which a player can negate the progress of another, while issuing an apologetic ""Sorry!"" board, game, player, players, sorry",children
Tabletop Simulator,"Tabletop Simulator is an independent video game that allows players to play and create tabletop games in a multiplayer physics sandbox. Developed by Berserk Games as their first title after a successful crowdfunding campaign in February 2014, the game was released in June of the following year.",https://en.wikipedia.org/wiki/Tabletop_Simulator,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/Tabletop_Simulator_logo.png/220px-Tabletop_Simulator_logo.png,295,47,2,84.77,118.18,"2014, game, games, tabletop, title",unspecified,"Tabletop Simulator Tabletop Simulator is an independent video game that allows players to play and create tabletop games in a multiplayer physics sandbox. Developed by Berserk Games as their first title after a successful crowdfunding campaign in February 2014, the game was released in June of the following year. 2014, game, games, tabletop, title",children
Tabletopia,"Tabletopia is an online portal for users to play and create virtual tabletop games. The platform is developed by Tabletopia Inc and initially was released as a web browser based service after a successful crowdfunding campaign in August 2015. In December 2016 Tabletopia was released on Steam, and later in 2018 became available in AppStore and Google Play.",https://en.wikipedia.org/wiki/Tabletopia,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Tabletopia_logo.png/220px-Tabletopia_logo.png,357,58,3,93.1,121.57,"2015, play, released, tabletopia, users",unspecified,"Tabletopia Tabletopia is an online portal for users to play and create virtual tabletop games. The platform is developed by Tabletopia Inc and initially was released as a web browser based service after a successful crowdfunding campaign in August 2015. In December 2016 Tabletopia was released on Steam, and later in 2018 became available in AppStore and Google Play. 2015, play, released, tabletopia, users",children
Take It Easy (game),"Take It Easy is an abstract strategy board game created by Peter Burley. It can be characterized as a strategic bingo-like game, and has been published by Ravensburger and subsequently by several other publishers since 1983.",https://en.wikipedia.org/wiki/Take_It_Easy_(game),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Take_it_easy_%28board_%2B_tiles%29.JPG/220px-Take_it_easy_%28board_%2B_tiles%29.JPG,224,36,2,63.0,127.47,"game, published, publishers, ravensburger, strategic",unspecified,"Take It Easy (game) Take It Easy is an abstract strategy board game created by Peter Burley. It can be characterized as a strategic bingo-like game, and has been published by Ravensburger and subsequently by several other publishers since 1983. game, published, publishers, ravensburger, strategic",children
Terraforming Mars (board game),"Terraforming Mars is a board game for 1 to 5 players designed by Jacob Fryxelius and published by FryxGames in 2016, and thereafter by 12 others, including Stronghold Games. In Terraforming Mars, players take the role of corporations working together to terraform the planet Mars by raising the temperature, adding oxygen to the atmosphere, covering the planet's surface with water and creating plant and animal life. The game incorporates elements of resource management, engine building, and strategic planning. Players compete to earn the most victory points, which are measured by their contribution to terraforming and to human infrastructure. These goals are achieved by collecting income and resources which allow them to play various projects, represented by cards that increase their income or resources, build infrastructure, or directly contribute to terraforming the planet. The game was received positively by fans and critics, and received numerous awards.",https://en.wikipedia.org/wiki/Terraforming_Mars_(board_game),https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Terraforming_Mars_board_game_box_cover.jpg/220px-Terraforming_Mars_board_game_box_cover.jpg,970,145,6,324.7,113.46,"game, mars, planet, players, terraforming",unspecified,"Terraforming Mars (board game) Terraforming Mars is a board game for 1 to 5 players designed by Jacob Fryxelius and published by FryxGames in 2016, and thereafter by 12 others, including Stronghold Games. In Terraforming Mars, players take the role of corporations working together to terraform the planet Mars by raising the temperature, adding oxygen to the atmosphere, covering the planet's surface with water and creating plant and animal life. The game incorporates elements of resource management, engine building, and strategic planning. Players compete to earn the most victory points, which are measured by their contribution to terraforming and to human infrastructure. These goals are achieved by collecting income and resources which allow them to play various projects, represented by cards that increase their income or resources, build infrastructure, or directly contribute to terraforming the planet. The game was received positively by fans and critics, and received numerous awards. game, mars, planet, players, terraforming",children
Mine a Million,"Mine a Million or The Business Game is a 1965 board game for 2-6 players previously published by Waddingtons. The game models the economic business of mining tin and gaining profit by transporting it to markets. The ""million"" in the game's title refers to the target profit players must reach.
The game is set in a developing country where transport economy is vital. In this country, the Minister for Transport has decreed that all transport must travel fully loaded. This brings in the concept of subcontracting.",https://en.wikipedia.org/wiki/Mine_a_Million,https://upload.wikimedia.org/wikipedia/en/3/3e/TheBusinessGame.JPG,514,86,6,124.71,125.39,"game, million, players, profit, transport",unspecified,"Mine a Million Mine a Million or The Business Game is a 1965 board game for 2-6 players previously published by Waddingtons. The game models the economic business of mining tin and gaining profit by transporting it to markets. The ""million"" in the game's title refers to the target profit players must reach.
The game is set in a developing country where transport economy is vital. In this country, the Minister for Transport has decreed that all transport must travel fully loaded. This brings in the concept of subcontracting. game, million, players, profit, transport",children
The Ungame,"The Ungame is a non-competitive conversation board game created by Rhea Zakich in 1972 and published in 1973. In the game, players move around the board with the aid of a die and answer questions about themselves on cards, while the other players must listen and respond only when prompted.",https://en.wikipedia.org/wiki/The_Ungame,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/The_Ungame_box_cover_and_board.jpg/220px-The_Ungame_box_cover_and_board.jpg,290,50,2,48.2,112.09,"board, game, players, respond, rhea",unspecified,"The Ungame The Ungame is a non-competitive conversation board game created by Rhea Zakich in 1972 and published in 1973. In the game, players move around the board with the aid of a die and answer questions about themselves on cards, while the other players must listen and respond only when prompted. board, game, players, respond, rhea",children
Ticket to Ride (board game),"Ticket to Ride is a series of turn-based strategy railway-themed Eurogames designed by Alan R. Moon, the first of which was released in 2004 by Days of Wonder. As of 2024, 18 million copies of the game have been sold worldwide and it has been translated into 33 languages. Days of Wonder has released electronic versions of the board games in the series, as well as Ticket to Ride-themed card games and puzzles.",https://en.wikipedia.org/wiki/Ticket_to_Ride_(board_game),https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Ticket_to_Ride_Board_Game_Box_EN.jpg/220px-Ticket_to_Ride_Board_Game_Box_EN.jpg,411,73,4,78.95,129.21,"games, released, series, themed, ticket",unspecified,"Ticket to Ride (board game) Ticket to Ride is a series of turn-based strategy railway-themed Eurogames designed by Alan R. Moon, the first of which was released in 2004 by Days of Wonder. As of 2024, 18 million copies of the game have been sold worldwide and it has been translated into 33 languages. Days of Wonder has released electronic versions of the board games in the series, as well as Ticket to Ride-themed card games and puzzles. games, released, series, themed, ticket",children
Toltec,"The Toltec culture () was a pre-Columbian Mesoamerican culture that ruled a state centered in Tula, Hidalgo, Mexico, during the Epiclassic and the early Post-Classic period of Mesoamerican chronology, reaching prominence from 950 to 1150 CE. The later Aztec culture considered the Toltec to be their intellectual and cultural predecessors and described Toltec culture emanating from Tōllān [ˈtoːlːãːn̥] (Nahuatl for Tula) as the epitome of civilization. In the Nahuatl language the word Tōltēkatl [toːɬˈteːkat͡ɬ] (singular) or Tōltēkah [toːɬˈteːkaḁ] (plural) came to take on the meaning ""artisan"". The Aztec oral and pictographic tradition also described the history of the Toltec Empire, giving lists of rulers and their exploits.
Modern scholars debate whether the Aztec narratives of Toltec history should be given credence as descriptions of actual historical events. While all scholars acknowledge that there is a large mythological part of the narrative, some maintain that, by using a critical comparative method, some level of historicity can be salvaged from the sources. Others maintain that continued analysis of the narratives as sources of factual history is futile and hinders access to learning about the culture of Tula.
Other controversies relating to the Toltec include the question of how best to understand the reasons behind the perceived similarities in architecture and iconography between the archaeological site of Tula and the Maya site of Chichén Itzá. Researchers are yet to reach a consensus in regards to the degree or direction of influence between these two sites.",https://en.wikipedia.org/wiki/Toltec,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Toltecas.png/220px-Toltecas.png,1596,242,8,498.33,107.26,"aztec, culture, history, toltec, tula",unspecified,"Toltec The Toltec culture () was a pre-Columbian Mesoamerican culture that ruled a state centered in Tula, Hidalgo, Mexico, during the Epiclassic and the early Post-Classic period of Mesoamerican chronology, reaching prominence from 950 to 1150 CE. The later Aztec culture considered the Toltec to be their intellectual and cultural predecessors and described Toltec culture emanating from Tōllān [ˈtoːlːãːn̥] (Nahuatl for Tula) as the epitome of civilization. In the Nahuatl language the word Tōltēkatl [toːɬˈteːkat͡ɬ] (singular) or Tōltēkah [toːɬˈteːkaḁ] (plural) came to take on the meaning ""artisan"". The Aztec oral and pictographic tradition also described the history of the Toltec Empire, giving lists of rulers and their exploits.
Modern scholars debate whether the Aztec narratives of Toltec history should be given credence as descriptions of actual historical events. While all scholars acknowledge that there is a large mythological part of the narrative, some maintain that, by using a critical comparative method, some level of historicity can be salvaged from the sources. Others maintain that continued analysis of the narratives as sources of factual history is futile and hinders access to learning about the culture of Tula.
Other controversies relating to the Toltec include the question of how best to understand the reasons behind the perceived similarities in architecture and iconography between the archaeological site of Tula and the Maya site of Chichén Itzá. Researchers are yet to reach a consensus in regards to the degree or direction of influence between these two sites. aztec, culture, history, toltec, tula",children
Vassal (game engine),"The Vassal Engine is a game engine for building and playing online adaptations of board games, tabletop games and card games. It allows users to play in real time over a live Internet connection, and also by email (PbeM). It runs on all platforms, and is free, open-source software. For example, there is a Star Wars Miniatures module, where players can play with up to three others in a digital replica of the table-top game.
It is written in Java and the source code is available from GitHub under the LGPL open source license.",https://en.wikipedia.org/wiki/Vassal_(game_engine),https://upload.wikimedia.org/wikipedia/en/5/54/VASSAL-logo.png,529,94,4,92.77,118.18,"engine, game, games, play, source",unspecified,"Vassal (game engine) The Vassal Engine is a game engine for building and playing online adaptations of board games, tabletop games and card games. It allows users to play in real time over a live Internet connection, and also by email (PbeM). It runs on all platforms, and is free, open-source software. For example, there is a Star Wars Miniatures module, where players can play with up to three others in a digital replica of the table-top game.
It is written in Java and the source code is available from GitHub under the LGPL open source license. engine, game, games, play, source",children
Xiangqi,"Xiangqi (; Chinese: 象棋; pinyin: xiàngqí), commonly known as Chinese chess or elephant chess, is a strategy board game for two players. It is the most popular board game in China. Xiangqi is in the same family of games as shogi, janggi, Western chess, chaturanga, and Indian chess. Besides China and areas with significant ethnic Chinese communities, this game is also a popular pastime in Vietnam, where it is known as cờ tướng, literally 'General's chess', in contrast with Western chess or cờ vua, literally 'King's chess'.
The game represents a battle between two armies, with the primary object being to checkmate the enemy's general (king). Distinctive features of xiangqi include the cannon (pao), which must jump to capture; a rule prohibiting the generals from facing each other directly; areas on the board called the river and palace, which restrict the movement of some pieces but enhance that of others; and the placement of the pieces on the intersections of the board lines, rather than within the squares.",https://en.wikipedia.org/wiki/Xiangqi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Xiangqi_Board.svg/280px-Xiangqi_Board.svg.png,1020,168,4,269.1,96.22,"board, chess, chinese, game, xiangqi",unspecified,"Xiangqi Xiangqi (; Chinese: 象棋; pinyin: xiàngqí), commonly known as Chinese chess or elephant chess, is a strategy board game for two players. It is the most popular board game in China. Xiangqi is in the same family of games as shogi, janggi, Western chess, chaturanga, and Indian chess. Besides China and areas with significant ethnic Chinese communities, this game is also a popular pastime in Vietnam, where it is known as cờ tướng, literally 'General's chess', in contrast with Western chess or cờ vua, literally 'King's chess'.
The game represents a battle between two armies, with the primary object being to checkmate the enemy's general (king). Distinctive features of xiangqi include the cannon (pao), which must jump to capture; a rule prohibiting the generals from facing each other directly; areas on the board called the river and palace, which restrict the movement of some pieces but enhance that of others; and the placement of the pieces on the intersections of the board lines, rather than within the squares. board, chess, chinese, game, xiangqi",children
Yoté,"Yoté is a traditional strategy board game of West Africa, where it is a popular gambling game due to its fast pace and surprising turnarounds. A player wins by capturing all opposing pieces. Yoté is related to the game Choko.",https://en.wikipedia.org/wiki/Yot%C3%A9,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Yot%C3%A9.svg/241px-Yot%C3%A9.svg.png,225,40,3,51.15,131.97,"game, traditional, turnarounds, west, yoté",unspecified,"Yoté Yoté is a traditional strategy board game of West Africa, where it is a popular gambling game due to its fast pace and surprising turnarounds. A player wins by capturing all opposing pieces. Yoté is related to the game Choko. game, traditional, turnarounds, west, yoté",children
Yunnori,"Yutnori  (Korean: 윷놀이), also known as yut, nyout and yoot, is a traditional board game played in Korea, especially during Korean New Year. The game is also called cheoksa (척사; 擲柶) or sahui (사희; 柶戲).",https://en.wikipedia.org/wiki/Yunnori,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Korea_yut_pan.jpg/220px-Korea_yut_pan.jpg,198,35,1,23.29,101.21,"board, game, korean, 柶戲, 사희",unspecified,"Yunnori Yutnori  (Korean: 윷놀이), also known as yut, nyout and yoot, is a traditional board game played in Korea, especially during Korean New Year. The game is also called cheoksa (척사; 擲柶) or sahui (사희; 柶戲). board, game, korean, 柶戲, 사희",children
1Up Network,"1Up.com was an American entertainment website that focused on video games. Launched in 2003, 1Up.com provided its own original features, news stories, game reviews, and video interviews, and also featured comprehensive PC-focused content. Like a print magazine, 1Up.com also hosted special week-long online cover stories that presented each day a new in-depth feature story, interview with the developers, game screenshot gallery, game video footage, and video of the game studio and creators. On February 21, 2013, Ziff Davis announced it would be winding down the site, along with sister sites GameSpy and UGO.com.",https://en.wikipedia.org/wiki/1Up_Network,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/1UP.com_%28website%29_logo.png/220px-1UP.com_%28website%29_logo.png,616,93,8,202.84,118.62,"1up, com, game, stories, video",unspecified,"1Up Network 1Up.com was an American entertainment website that focused on video games. Launched in 2003, 1Up.com provided its own original features, news stories, game reviews, and video interviews, and also featured comprehensive PC-focused content. Like a print magazine, 1Up.com also hosted special week-long online cover stories that presented each day a new in-depth feature story, interview with the developers, game screenshot gallery, game video footage, and video of the game studio and creators. On February 21, 2013, Ziff Davis announced it would be winding down the site, along with sister sites GameSpy and UGO.com. 1up, com, game, stories, video",children
Adobe Flash,"Adobe Flash (formerly Macromedia Flash and FutureSplash) is a discontinued multimedia software platform used for production of animations, rich internet applications, desktop applications, mobile apps, mobile games, and embedded web browser video players.",https://en.wikipedia.org/wiki/Adobe_Flash,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Adobe_Flash_Professional_CS6_Icon.svg/121px-Adobe_Flash_Professional_CS6_Icon.svg.png,255,33,1,108.12,96.43,"adobe, applications, flash, mobile, used",unspecified,"Adobe Flash Adobe Flash (formerly Macromedia Flash and FutureSplash) is a discontinued multimedia software platform used for production of animations, rich internet applications, desktop applications, mobile apps, mobile games, and embedded web browser video players. adobe, applications, flash, mobile, used",children
Allan Alcorn,"Allan Alcorn (born January 1, 1948) is an American pioneering engineer and computer scientist best known for creating Pong, one of the first video games. In 2009, he was chosen by IGN as one of the top 100 game creators of all time.",https://en.wikipedia.org/wiki/Allan_Alcorn,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/AlAlcorn-Cropped.jpg/220px-AlAlcorn-Cropped.jpg,232,43,2,35.35,120.09,"100, known, pioneering, pong, scientist",unspecified,"Allan Alcorn Allan Alcorn (born January 1, 1948) is an American pioneering engineer and computer scientist best known for creating Pong, one of the first video games. In 2009, he was chosen by IGN as one of the top 100 game creators of all time. 100, known, pioneering, pong, scientist",children
